[2026-03-16 17:34:52] [HỆ THỐNG] Server Java khởi động, kết nối MQTT thành công.
[2026-03-16 17:39:14] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:39:19] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:39:24] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:39:29] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:39:34] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:39:39] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:39:44] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:39:49] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:39:54] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:39:59] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:40:04] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 62.0%
[2026-03-16 17:40:09] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 62.0%
[2026-03-16 17:40:15] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 62.0%
[2026-03-16 17:40:19] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 61.0%
[2026-03-16 17:40:25] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 60.0%
[2026-03-16 17:40:30] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 60.0%
[2026-03-16 17:40:35] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 60.0%
[2026-03-16 17:40:40] [NODE 2] Cập nhật -> Nhiệt độ: 24.3°C, Độ ẩm: 59.0%
[2026-03-16 17:40:45] [NODE 2] Cập nhật -> Nhiệt độ: 24.2°C, Độ ẩm: 59.0%
[2026-03-16 17:40:50] [NODE 2] Cập nhật -> Nhiệt độ: 24.2°C, Độ ẩm: 59.0%
[2026-03-16 17:40:55] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:41:00] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:41:05] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:41:10] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:41:15] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:41:20] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:41:25] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:41:30] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:41:35] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:41:40] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:41:45] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:41:50] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:41:55] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:42:00] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:42:05] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:42:10] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 60.0%
[2026-03-16 17:42:15] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 60.0%
[2026-03-16 17:42:20] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 61.0%
[2026-03-16 17:42:25] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 61.0%
[2026-03-16 17:42:30] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 61.0%
[2026-03-16 17:42:35] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 62.0%
[2026-03-16 17:42:40] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 62.0%
[2026-03-16 17:42:45] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 62.0%
[2026-03-16 17:42:50] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 62.0%
[2026-03-16 17:42:55] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 62.0%
[2026-03-16 17:43:00] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 62.0%
[2026-03-16 17:43:05] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 62.0%
[2026-03-16 17:43:10] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 63.0%
[2026-03-16 17:43:15] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 63.0%
[2026-03-16 17:43:20] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 63.0%
[2026-03-16 17:43:25] [NODE 2] Cập nhật -> Nhiệt độ: 24.2°C, Độ ẩm: 63.0%
[2026-03-16 17:43:30] [NODE 2] Cập nhật -> Nhiệt độ: 24.2°C, Độ ẩm: 63.0%
[2026-03-16 17:43:35] [NODE 2] Cập nhật -> Nhiệt độ: 24.2°C, Độ ẩm: 63.0%
[2026-03-16 17:43:40] [NODE 2] Cập nhật -> Nhiệt độ: 24.3°C, Độ ẩm: 63.0%
[2026-03-16 17:43:45] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:43:50] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:43:55] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:44:00] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:44:05] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:44:10] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:44:15] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:44:20] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:44:25] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:44:30] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:44:35] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:44:40] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
